county,state,county_state,income_group,shortage
Carson County,Texas,"Carson County, TX",r_gap30,0
Carter County,Kentucky,"Carter County, KY",r_gap30,374
Carter County,Missouri,"Carter County, MO",r_gap30,79
Carter County,Montana,"Carter County, MT",r_gap30,10
Carter County,Oklahoma,"Carter County, OK",r_gap30,545
Carter County,Tennessee,"Carter County, TN",r_gap30,1205
Carteret County,North Carolina,"Carteret County, NC",r_gap30,995
Carver County,Minnesota,"Carver County, MN",r_gap30,655
Cascade County,Montana,"Cascade County, MT",r_gap30,1695
Casey County,Kentucky,"Casey County, KY",r_gap30,64
Cass County,Iowa,"Cass County, IA",r_gap30,140
Cass County,Illinois,"Cass County, IL",r_gap30,129
Cass County,Indiana,"Cass County, IN",r_gap30,559
Cass County,Michigan,"Cass County, MI",r_gap30,630
Cass County,Minnesota,"Cass County, MN",r_gap30,344
Cass County,Missouri,"Cass County, MO",r_gap30,1075
Cass County,North Dakota,"Cass County, ND",r_gap30,5700
Cass County,Nebraska,"Cass County, NE",r_gap30,105
Cass County,Texas,"Cass County, TX",r_gap30,435
Cassia County,Idaho,"Cassia County, ID",r_gap30,241
Castro County,Texas,"Castro County, TX",r_gap30,94
Caswell County,North Carolina,"Caswell County, NC",r_gap30,531
Catahoula Parish,Louisiana,"Catahoula Parish, LA",r_gap30,136
Catawba County,North Carolina,"Catawba County, NC",r_gap30,2325
Catoosa County,Georgia,"Catoosa County, GA",r_gap30,605
Catron County,New Mexico,"Catron County, NM",r_gap30,0
Cattaraugus County,New York,"Cattaraugus County, NY",r_gap30,1385
Cavalier County,North Dakota,"Cavalier County, ND",r_gap30,0
Cayuga County,New York,"Cayuga County, NY",r_gap30,1505
Cecil County,Maryland,"Cecil County, MD",r_gap30,1430
Cedar County,Iowa,"Cedar County, IA",r_gap30,99
Cedar County,Missouri,"Cedar County, MO",r_gap30,235
Cedar County,Nebraska,"Cedar County, NE",r_gap30,14
Centre County,Pennsylvania,"Centre County, PA",r_gap30,5700
Cerro Gordo County,Iowa,"Cerro Gordo County, IA",r_gap30,1000
Chaffee County,Colorado,"Chaffee County, CO",r_gap30,270
Chambers County,Alabama,"Chambers County, AL",r_gap30,530
Chambers County,Texas,"Chambers County, TX",r_gap30,345
Champaign County,Illinois,"Champaign County, IL",r_gap30,11480
Champaign County,Ohio,"Champaign County, OH",r_gap30,595
Chariton County,Missouri,"Chariton County, MO",r_gap30,80
Charles City County,Virginia,"Charles City County, VA",r_gap30,70
Charles County,Maryland,"Charles County, MD",r_gap30,1600
Charles Mix County,South Dakota,"Charles Mix County, SD",r_gap30,40
Charleston County,South Carolina,"Charleston County, SC",r_gap30,9500
Charlevoix County,Michigan,"Charlevoix County, MI",r_gap30,194
Charlotte County,Florida,"Charlotte County, FL",r_gap30,1860
Charlotte County,Virginia,"Charlotte County, VA",r_gap30,239
Charlottesville city,Virginia,"Charlottesville city, VA",r_gap30,2410
Charlton County,Georgia,"Charlton County, GA",r_gap30,9
Chase County,Kansas,"Chase County, KS",r_gap30,5
Chase County,Nebraska,"Chase County, NE",r_gap30,39
Chatham County,Georgia,"Chatham County, GA",r_gap30,7695
Chatham County,North Carolina,"Chatham County, NC",r_gap30,895
Chattahoochee County,Georgia,"Chattahoochee County, GA",r_gap30,134
Chattooga County,Georgia,"Chattooga County, GA",r_gap30,200
Chautauqua County,Kansas,"Chautauqua County, KS",r_gap30,40
Chautauqua County,New York,"Chautauqua County, NY",r_gap30,3570
